n,alpha,beta,mu_exact,mu_beta,error_mu,var_exact,var_beta,error_var,D
10,1.5340692933362958,2.356603036248139,0.39042553191489354,0.39429413823192627,0.00386860631703273,0.049801946582163865,0.048833014091574235,0.0009689324905896302,0.07137353656190776
15,2.243549145558923,4.06836593148594,0.3537025577557755,0.3554466620944014,0.0017441043386258737,0.03158723761905378,0.031333013319534225,0.00025422429951955233,0.028198134152476795
20,2.6901328433953817,5.769100775822263,0.3173722988288661,0.318011413857155,0.0006391150282888947,0.023157938406290757,0.022927878012559962,0.00023006039373079518,0.016994833994914915
25,3.200163203938999,7.54781511646038,0.29731003434193837,0.2977455953614247,0.0004355610194863302,0.01806677390946139,0.017798224520147666,0.0002685493893137235,0.014856316438808748
30,3.7403615715458907,9.370935065908268,0.28489799490015305,0.28527777800870213,0.00037978310854908104,0.014737918415742601,0.014449017168411299,0.0002889012473313024,0.0152154836281988
35,4.054571275336273,10.913729383877673,0.2705877440429068,0.2708771935871308,0.0002894495442239964,0.012616677185667148,0.012368425657587355,0.0002482515280797931,0.014012928095292865
40,4.284913640423236,12.324781629819226,0.2577517026290722,0.25797665584509466,0.0002249532160224499,0.011081245340279652,0.010870415299437525,0.00021083004084212695,0.012914471594690335
45,4.545966036354419,13.75908548660948,0.2481520879205967,0.24834489160827827,0.00019280368768156975,0.00986115791754668,0.009669474655289159,0.00019168326225752104,0.012653683968814444
50,4.814863249709335,15.193008357935069,0.24047471938115134,0.24064844797733112,0.0001737285961797841,0.008878385388841696,0.008698490540895066,0.00017989484794662947,0.012762009050169554
55,5.08061189246898,16.613371505099103,0.23403411826714146,0.23419451372118785,0.00016039545404639144,0.00807397968507924,0.007902863077061355,0.00017111660801788497,0.013027789239141996
60,5.337957057754326,18.01314254706479,0.22844561819847337,0.2285955328909949,0.0001499146925215411,0.0074052403968739595,0.007241546299551053,0.0001636940973229065,0.013352070343602973
65,5.557049376640007,19.342917486451235,0.223035709582059,0.22317497076179318,0.00013926117973417362,0.006849139746214129,0.006693749999901502,0.00015538974631262772,0.01353529253916641
70,5.670834820335143,20.482625300183233,0.2167043757236816,0.21682923766886814,0.00012486194518654403,0.006396984784179807,0.006253874040623143,0.0001431107435566634,0.013231290454480071
75,5.795191811192768,21.623863300240913,0.2112422117928416,0.2113563646756079,0.00011415288276628299,0.00599894957532031,0.005865249605700575,0.00013369996961973447,0.013084832190421003
80,5.925400285689486,22.762025184487957,0.2064445451378407,0.2065504376420724,0.00010589250423170826,0.005646686604014382,0.005520430005511057,0.00012625659850332496,0.013043008515163268
85,6.058321802030642,23.893829937760888,0.20216736628286802,0.20226666366617466,9.929738330663462e-05,0.0053332232881778685,0.005213041787595474,0.00012018150058239457,0.013071093517947274
90,6.191852118077635,25.016975672942092,0.19830679970105752,0.19840066277206755,9.386307101003077e-05,0.005052786996095656,0.004937709649527012,0.00011507734656864346,0.013145142449114244
95,6.324576672949396,26.12987641193375,0.19478620010629494,0.1948754661311886,8.926602489367497e-05,0.004800608041413201,0.004689929272890655,0.00011067876852254542,0.013249073691122493
100,6.455548115478573,27.23146763137328,0.1915478297538916,0.1916331254745194,8.529572062782043e-05,0.004572738837216899,0.004465932492605563,0.00010680634461133608,0.013371940131715943
