p,k,n,alpha,beta,D,mu_exact,mu_beta,error_mu,var_exact,var_beta,error_var
10,3,21,1.9391913336619435,3.275572140932275,0.050379915975135026,0.368389662027833,0.37186563553830976,0.0034759735104767375,0.03791176510629178,0.03758495163957145,0.00032681346672033124
10,4,31,1.881922655185484,3.32639838960257,0.04567362229459404,0.35848483313921103,0.36133000231787105,0.002845169178660012,0.03726145719551239,0.03717118204390743,9.027515160495853e-05
10,5,41,1.9744709749948728,3.390164549511281,0.044055756714658445,0.36544759825327516,0.3680531447057877,0.0026055464525125416,0.03645521723222288,0.03654412361594191,8.890638371903542e-05
10,6,51,2.149224464617235,3.4900716470192354,0.04608628501894452,0.3785303459524422,0.3811157318344027,0.0025853858819605002,0.035295589175945115,0.035525833886115576,0.0002302447101704616
10,7,61,2.3892833906892044,3.630886279104932,0.05027836929271867,0.394109396914446,0.39687974288786243,0.0027703459734164104,0.03381234311852912,0.03409692697358211,0.00028458385505299166
10,8,71,2.6638623906822576,3.785264617564582,0.054572733556945696,0.41005586592178767,0.41305782740452096,0.003001961482733295,0.03224410815479402,0.03254623774785614,0.00030212959306211845
10,9,81,2.961669720997453,3.940860242259534,0.05874549078808433,0.4258871842553851,0.42907017235170064,0.0031829880963155643,0.030656497629547693,0.030998801736756704,0.00034230410720901064
10,10,91,2.961669720997453,3.940860242259534,0.05874549078808433,0.4258871842553851,0.42907017235170064,0.0031829880963155643,0.030656497629547693,0.030998801736756704,0.00034230410720901064
20,3,41,3.2545785537990075,7.8823636568456825,0.021321731591382453,0.29160730154657827,0.29223268759429144,0.0006253860477131723,0.01738283766397925,0.017041585953528417,0.00034125171045083433
20,4,61,3.9282385447381136,8.999934048389068,0.028242517869601025,0.30303997832266494,0.3038510289401942,0.0008110506175292853,0.015645044127633043,0.015186886846631706,0.0004581572810013375
20,5,81,3.8022965591414555,8.944612688406442,0.026073112235289075,0.2975747317767292,0.2982916474338983,0.0007169156571690816,0.01562249623992425,0.015226240075921466,0.00039625616400278466
20,6,101,3.810397672758279,8.950328148713636,0.025415639690271108,0.2979275386006826,0.29860352193655704,0.0006759833358744305,0.015579470451960151,0.015220088049195534,0.0003593824027646169
20,7,121,3.8893661917094713,9.01828555943506,0.02567651127046683,0.3006524685575926,0.30132252300381424,0.0006700544462216462,0.015482868695123853,0.01513751306845203,0.0003453556266718224
20,8,141,4.006247766378611,9.128117600691196,0.026463863179576108,0.30433490315458567,0.3050202772966091,0.0006853741420234094,0.015344365086123832,0.014997695491046648,0.00034666959507718455
20,9,161,4.143075029083907,9.260989108915995,0.027522407149743855,0.3083796418890785,0.30909095826679023,0.0007113163777117126,0.015181766654620543,0.014825936328700688,0.00035583032591985503
20,10,181,4.2903115414402375,9.40446692118014,0.028704955320996817,0.31253983678944225,0.3132808283938697,0.0007409916044274767,0.015007867845438795,0.014640299035604336,0.0003675688098344586
30,3,61,4.350238303951779,12.421526909171426,0.018342151755131264,0.2590319800751972,0.2593786789089976,0.00034669883380039623,0.011099803241663455,0.010809358413905179,0.00029044482775827593
30,4,91,4.580326202481826,13.372027112422913,0.01945148112954198,0.2547958545447696,0.2551379266070405,0.0003420720622708817,0.010314749943248283,0.01002738614334745,0.0002873637999008336
30,5,121,5.233163317513089,14.42602664292581,0.023434715681386165,0.2657985174181044,0.26619424951099335,0.0003957320928889563,0.009773376195679596,0.00945510794045298,0.0003182682552266159
30,6,151,5.18295649571185,14.40332910569928,0.022701759498836183,0.264242095264448,0.26462171547924507,0.00037962021479709396,0.00975751074665266,0.009452752523880628,0.0003047582227720322
30,7,181,5.2067748638242906,14.433045618430379,0.02256326408640591,0.26473905434864653,0.2651131596914957,0.0003741053428491514,0.009737622937209787,0.009439431530782597,0.00029819140642719025
30,8,211,5.268013650762042,14.503020138181618,0.02276222901962932,0.26607633986747214,0.2664510974488353,0.00037475758136312765,0.009706310964800846,0.009409975069280683,0.00029633589552016323
30,9,241,5.347814980855961,14.597109403120273,0.023142119850551313,0.2677503312542902,0.2681291178597999,0.00037878660550971777,0.009666369664396698,0.009369138337193246,0.00029723132720345206
30,10,271,5.4366520321679195,14.703727554401151,0.023611008120017707,0.2695534730612112,0.2699379129772428,0.0003844399160315981,0.009621521218679546,0.009322038675215506,0.0002994825434640396
40,3,81,5.291970476714442,16.75906919537213,0.01822550951411045,0.23974041058336223,0.23998734551338688,0.00024693493002464484,0.008151299346900719,0.007912589718358457,0.00023870962854226178
40,4,121,5.2542292642865105,17.60989829505568,0.0173506904645645,0.2295841992089606,0.22980230715777536,0.0002181079488147719,0.007632824484238531,0.007416705527684398,0.00021611895655413316
40,5,161,5.6775920394645505,18.562641012054474,0.019377742433110468,0.2339866730822442,0.2342218421496885,0.00023516906744430743,0.007334022278301497,0.00710619313393782,0.00022782914436367697
40,6,201,6.2009045598184995,19.426323789270015,0.021725092100087995,0.24171062333196824,0.24196547809818253,0.00025485476621428527,0.007127465456000744,0.006888369420288504,0.00023909603571223986
40,7,241,6.199481908432456,19.441863889786454,0.021527481085997113,0.24152523470285078,0.24177677557248503,0.00025154086963424804,0.0071166583901677224,0.006881062531702622,0.00023559585846510012
40,8,281,6.234764905979148,19.492374668257625,0.02157704083081402,0.24209082757335965,0.24234193964659242,0.00025111207323277873,0.0071042642403684715,0.006869883079890456,0.00023438116047801594
40,9,321,6.287660140521107,19.565074031659634,0.021757640045962257,0.24295845141953443,0.2432106445161629,0.0002521930966284669,0.007088851642622812,0.0068543942575828905,0.00023445738503992137
40,10,361,6.348814239891477,19.64975780018702,0.022001912078357833,0.24394455968606307,0.2441985748334318,0.00025401514736872466,0.007071317841132847,0.00683612565171117,0.00023519218942167752
