n,alpha,beta,mu_exact,mu_beta,error_mu,var_exact,var_beta,error_var,D
10,1.5340692933362958,2.356603036248139,0.39042553191489354,0.39429413823192627,0.00386860631703273,0.049801946582163865,0.048833014091574235,0.0009689324905896302,0.07137353656190776
15,2.243549145558923,4.06836593148594,0.3537025577557755,0.3554466620944014,0.0017441043386258737,0.03158723761905378,0.031333013319534225,0.00025422429951955233,0.028198134152476795
20,2.6901328433953817,5.769100775822263,0.3173722988288661,0.318011413857155,0.0006391150282888947,0.023157938406290757,0.022927878012559962,0.00023006039373079518,0.016994833994914915
25,3.200163203938999,7.54781511646038,0.29731003434193837,0.2977455953614247,0.0004355610194863302,0.01806677390946139,0.017798224520147666,0.0002685493893137235,0.014856316438808748
30,3.7403615715458907,9.370935065908268,0.28489799490015305,0.28527777800870213,0.00037978310854908104,0.014737918415742601,0.014449017168411299,0.0002889012473313024,0.0152154836281988
35,4.054571275336273,10.913729383877673,0.2705877440429068,0.2708771935871308,0.0002894495442239964,0.012616677185667148,0.012368425657587355,0.0002482515280797931,0.014012928095292865
40,4.284913640423236,12.324781629819226,0.2577517026290722,0.25797665584509466,0.0002249532160224499,0.011081245340279652,0.010870415299437525,0.00021083004084212695,0.012914471594690335
45,4.545966036354419,13.75908548660948,0.2481520879205967,0.24834489160827827,0.00019280368768156975,0.00986115791754668,0.009669474655289159,0.00019168326225752104,0.012653683968814444
50,4.814863249709335,15.193008357935069,0.24047471938115134,0.24064844797733112,0.0001737285961797841,0.008878385388841696,0.008698490540895066,0.00017989484794662947,0.012762009050169554
55,5.0806118924689745,16.613371505099085,0.2340341182671415,0.23419451372118782,0.00016039545404633593,0.00807397968507924,0.007902863077061362,0.00017111660801787804,0.013027789239142051
60,5.337957057754382,18.013142547065005,0.2284456181984734,0.22859553289099463,0.0001499146925212358,0.00740524039687396,0.007241546299550964,0.0001636940973229967,0.013352070343602973
65,5.5570493647804815,19.34291746841792,0.22303570958205898,0.2231749705534318,0.00013926097137281768,0.00684913974621413,0.006693750003173164,0.00015538974304096613,0.013535291431127472
70,5.670834820335127,20.48262530018317,0.21670437572368154,0.21682923766886816,0.0001248619451866273,0.006396984784179807,0.006253874040623162,0.00014311074355664432,0.013231290454480071
75,5.795191811192782,21.62386330024097,0.21124221179284164,0.21135636467560787,0.00011415288276622748,0.0059989495753203104,0.00586524960570056,0.00013369996961975009,0.01308483219042128
80,5.9254002800029095,22.76202521019931,0.20644454513784063,0.20655043729966793,0.00010589216182729788,0.005646686604014382,0.005520429995018322,0.00012625660899605925,0.01304300678168202
85,6.058321794619912,23.893829998529384,0.202167366282868,0.2022666630584311,9.929677556311245e-05,0.005333223288177869,0.005213041766916871,0.00012018152126099836,0.013071090403854402
90,6.191852118077801,25.016975672942817,0.19830679970105752,0.19840066277206722,9.386307100969771e-05,0.005052786996095656,0.004937709649526869,0.00011507734656878658,0.013145142449114688
95,6.324576673048243,26.129875373983165,0.19478620010629494,0.19487547236610173,8.927225980678855e-05,0.0048006080414132015,0.0046899295321177715,0.00011067850929542995,0.013249106214015371
100,6.455548172902415,27.23146930114308,0.19154782975389156,0.19163311735377456,8.528759988299384e-05,0.004572738837216899,0.004465932125843914,0.00010680671137298491,0.013371897557779733
